Code,Name,Year,Population,Square_Kilometres,Population_per_square_kilometre
E09000001,City of London,1999,6581,2.9,2266.2
E09000001,City of London,2000,7014,2.9,2415.3
E09000001,City of London,2001,7359,2.9,2534.1
E09000001,City of London,2002,7280,2.9,2506.9
E09000001,City of London,2003,7115,2.9,2450.1
E09000001,City of London,2004,7118,2.9,2451.2
E09000001,City of London,2005,7131,2.9,2455.6
E09000001,City of London,2006,7254,2.9,2498
E09000001,City of London,2007,7607,2.9,2619.5
E09000001,City of London,2008,7429,2.9,2558.3
E09000001,City of London,2009,7472,2.9,2573.1
E09000001,City of London,2010,7338,2.9,2526.9
E09000001,City of London,2011,7412,2.9,2552.4
E09000001,City of London,2012,7204,2.9,2480.8
E09000001,City of London,2013,6848,2.9,2358.2
E09000001,City of London,2014,6872,2.9,2366.4
E09000001,City of London,2015,7160,2.9,2465.6
E09000001,City of London,2016,7401,2.9,2548.6
E09000001,City of London,2017,7405,2.9,2550
E09000001,City of London,2018,7681,2.9,2645
E09000001,City of London,2019,7953,2.9,2738.7
E09000001,City of London,2020,8046,2.9,2770.7
E09000001,City of London,2021,8164,2.9,2811.4
E09000001,City of London,2022,8289,2.9,2854.4
E09000001,City of London,2023,8408,2.9,2895.4
E09000001,City of London,2024,8526,2.9,2936
E09000001,City of London,2025,8661,2.9,2982.5
E09000001,City of London,2026,8802,2.9,3031.1
E09000001,City of London,2027,8940,2.9,3078.6
E09000001,City of London,2028,9075,2.9,3125.1
E09000001,City of London,2029,9211,2.9,3171.9
E09000001,City of London,2030,9367,2.9,3225.6
E09000001,City of London,2031,9508,2.9,3274.2
E09000001,City of London,2032,9640,2.9,3319.6
E09000001,City of London,2033,9767,2.9,3363.4
E09000001,City of London,2034,9892,2.9,3406.4
E09000001,City of London,2035,10001,2.9,3443.9
E09000001,City of London,2036,10097,2.9,3477
E09000001,City of London,2037,10188,2.9,3508.3
E09000001,City of London,2038,10278,2.9,3539.3
E09000001,City of London,2039,10366,2.9,3569.6
E09000001,City of London,2040,10448,2.9,3597.9
E09000001,City of London,2041,10531,2.9,3626.5
E09000001,City of London,2042,10552,2.9,3633.7
E09000001,City of London,2043,10561,2.9,3636.8
E09000001,City of London,2044,10568,2.9,3639.2
E09000001,City of London,2045,10575,2.9,3641.6
E09000001,City of London,2046,10583,2.9,3644.4
E09000001,City of London,2047,10587,2.9,3645.7
E09000001,City of London,2048,10590,2.9,3646.8
E09000001,City of London,2049,10596,2.9,3648.8
E09000001,City of London,2050,10604,2.9,3651.6
E09000002,Barking and Dagenham,1999,162444,36.1,4498.9
E09000002,Barking and Dagenham,2000,163893,36.1,4539
E09000002,Barking and Dagenham,2001,165654,36.1,4587.8
E09000002,Barking and Dagenham,2002,166357,36.1,4607.2
